Raaga,Thaat,Performance Time
Adana,Asavari,Night
Ahir Bhairav,Bhairav,Morning
Asavari,,Morning
Bageshri,Kafi,Night
Bahar,Kafi,Night
Bairagi Bhairav,Bhairav,Morning
Basant,Poorvi,Night
Basant Mukhari,,Morning
Bhairav,Bhairav,Morning
Bhairavi,Bhairavi,Any Time
Bhankar,Bhairav,Morning
Bhatiyar,Bhairav,Morning
Bhimpalasi,Kafi,Afternoon
Bhinna Shadja,Khamaj,Night
Bhoopal Todi,Bhairavi,Morning
Bhoopali,Kalyan,Evening
Bihag,Kalyan,Night
Bilaskhani Todi,Bhairavi,Morning
Bilawal,Bilawal,Morning
Chandani Kedar,Kalyan,Night
Chandrakauns,,Night
Charukeshi,,
Chhayanat,Kalyan,Night
Darbari,Asavari,Night
Desh,Khamaj,Evening
Deshkar,Bilawal,Morning
Desi,Asavari,Morning
Dhani,Kafi,Any Time
Durga,Bilawal,Night
Gara,Khamaj,
Gaud Malhar,Kafi,Monsoon
Gaud Saarang,Kalyan,Afternoon
Gorakh Kalyan,Khamaj,Night
Gunakri,Bhairav,Morning
Gurjari Todi,Todi,Morning
Hamir,Kalyan,Night
Hansdhwani,Bilawal,Evening
Hindol,Kalyan,Morning
Jaijaiwanti,Khamaj,Night
JanaSammohini,,
Jaunpuri,Asavari,Morning
Jhinjhoti,Khamaj,Night
Jogiya,Bhairav,Morning
Kafi,Kafi,Any Time
Kalavati,Khamaj,Night
Kalingada,Bhairav,Morning
Kamod,Kalyan,Evening
Kedar,Kalyan,Night
Khamaj,Khamaj,Evening
Kirwani,,Night
Lalit,Poorvi,Morning
Madhuvanti,Todi,Afternoon
Madhyamad Sarang,Kafi,Afternoon
Malgunji,Kafi,Night
Malhar,Kafi,Night
Malkauns,Bhairavi,Night
Malkauns Pancham,Bhairavi,Night
Mand,Bilawal,Any Time
Maru Bihag,Kalyan,Evening
Marwa,Marwa,Afternoon
Miyan Malhar,Kafi,Monsoon
Multani,Todi,Afternoon
Nand,Kalyan,Night
Nat Bhairav,Bhairav,Morning
Pahadi,Bilawal,Evening
Patdeep,,Afternoon
Piloo,Kafi,Any Time
Poorvi,Poorvi,Afternoon
Puriya,Marwa,Evening
Puriya Dhanashri,Poorvi,Evening
Rageshri,Khamaj,Night
Sham Kalyan,Kalyan,Evening
Shankara,Bilawal,Evening
Shivranjani,Kafi,Night
Shri,Poorvi,Afternoon
Shuddh Kalyan,Kalyan,Evening
Shuddh Sarang,Kalyan,Afternoon
Sohni,Marwa,Morning
Tilak Kamod,Khamaj,Night
Tilang,Khamaj,Evening
Todi,Todi,Morning
Vibhas,Bhairav,Morning
Vrindavani Sarang,Kafi,
Yaman,Kalyan,Evening
Yaman Kalyan,Kalyan,Evening
